"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"203757_s_at",3.39108046499859,2.61712484712512,0.358621978056258,7.29772575933581,2.92672396506818e-13,1.62470279379151e-10
"203767_s_at",5.5868495660486,0.612765329388799,0.13009932099007,4.70998099548551,2.47739890842329e-06,0.000343817607664069
"203789_s_at",8.86484488432128,0.468903454150322,0.107670095131526,4.35500176328003,1.33065846994876e-05,0.00147321834085844
"203806_s_at",3.17080718333531,-0.696701162556779,0.173061942750319,-4.02573293402773,5.67981237514186e-05,0.00498583797224591
"203819_s_at",4.58927423952628,-0.635939007377789,0.153722261217834,-4.13693503035728,3.51975715173618e-05,0.00337537003354087
"203820_s_at",4.78640617153665,-0.528043293546285,0.149240810348505,-3.53819637077289,0.000402870323243362,0.0249273640821254
"203824_at",3.15409460049863,1.12967145231601,0.201877548941757,5.59582508425403,2.19574993946919e-08,5.27702976306333e-06
"203881_s_at",6.00910487524185,-0.598870690605647,0.131939481688215,-4.53898016683766,5.65269519050531e-06,0.000709539261906294
"203963_at",8.06563202286796,0.555441941828273,0.122308627351631,4.54131449150683,5.59045646507172e-06,0.000703968853400437
"204014_at",8.79173911109612,0.533422082928959,0.106137567774015,5.02576132199211,5.01439228512379e-07,8.37446006465547e-05
"204015_s_at",7.84552166322241,0.520965194182455,0.11192944283133,4.65440710687278,3.24914277097204e-06,0.000440074615721966
"204061_at",6.35858590112007,-0.420531190548177,0.117787818344092,-3.5702434806941,0.000356649565606977,0.0225633803833602
"204069_at",5.23809735036602,0.514326779531466,0.135930294021568,3.78375389558017,0.00015448058103455,0.0115098253703133
"204086_at",4.12270906137426,-0.659493972931671,0.170141004484476,-3.87616127534878,0.000106117362138798,0.00829863037964007
"204197_s_at",4.78727209203464,-0.477579315979599,0.141680572637856,-3.37081723406299,0.000749455611730073,0.0404090882089317
"204259_at",7.91891778520133,-0.488171227221347,0.110481912971306,-4.41856240621151,9.93595915401677e-06,0.00114173730057264
"204268_at",5.60285102454255,-0.647615626421983,0.143425512611031,-4.51534468751255,6.32138618006248e-06,0.00077859723406557
"204284_at",6.11645197053318,0.557083117723045,0.136099354662562,4.09320910524703,4.25443723752195e-05,0.00394551504187506
"204285_s_at",9.02785762641913,-0.379875212130907,0.107178521862309,-3.54432217883103,0.000393623925703912,0.0244319581223527
"204286_s_at",7.47332696339945,-0.418323886942426,0.118852410818075,-3.51969206230697,0.000432048097924069,0.0262384341010466
"204304_s_at",8.1836519450737,-0.382959990558262,0.115565156225376,-3.31380152172694,0.00092036813588588,0.0472951625916637
"204337_at",6.0324619881853,0.460192087821648,0.12533671095339,3.67164643400277,0.000240992931880074,0.0164904434325021
"204364_s_at",5.4410596892311,0.898037869345911,0.14104352031418,6.36709766847493,1.92638517448488e-10,6.90241320610428e-08
"204368_at",3.87515382408333,0.680036463605422,0.156200408288247,4.35361514773063,1.3391070670986e-05,0.00147841921407911
"204385_at",4.51138670179557,0.538655785020793,0.13734024496907,3.92205347487258,8.77974997342451e-05,0.00713494980314543
"204404_at",5.75597694016462,0.538077256863044,0.12810544137755,4.20026855281838,2.66598572257851e-05,0.00266693302714999
"204462_s_at",3.58184846288615,0.708754663389528,0.164793080070853,4.30087636619691,1.70123961648352e-05,0.00180249081301295
"204508_s_at",5.508704076474,0.899297659810184,0.15667187586442,5.74000697220483,9.46726532632568e-09,2.40737287465678e-06
"204521_at",4.42055313674743,-0.561245786389633,0.15420424555226,-3.6396260322121,0.000273034278584864,0.0181473407354871
"204579_at",2.64154417228173,1.41347227504069,0.202392440987465,6.98381949515711,2.8726110179754e-12,1.31652431002887e-09
"204580_at",5.16515137810583,-0.483988764736664,0.128820089815024,-3.75709072576827,0.000171900187342793,0.0127115834595288
"204602_at",3.93067119324133,0.591833379066062,0.171519432313945,3.45053252031982,0.000559481757083495,0.0320239754129817
"204607_at",2.57987808080684,1.84315016826367,0.252958875637864,7.28636290628648,3.1843450331326e-13,1.743163543554e-10
"204623_at",5.1539263205523,2.09705458843965,0.181926273348429,11.5269474267926,9.65051209656296e-31,7.60730567547865e-27
"204624_at",3.31201237236976,0.842125483426892,0.184535520272255,4.56348719305887,5.03108802339678e-06,0.000639662268884389
"204629_at",2.57931980557641,-0.716351365625178,0.196816144165152,-3.63969819987975,0.000272957771304954,0.0181473407354871
"204667_at",6.06615940176603,1.5677362360685,0.147063631526091,10.6602578747714,1.56163838070447e-26,6.83893501523178e-23
"204720_s_at",4.87111444070658,-0.476568863020188,0.144677041989719,-3.29401857036898,0.00098765973100016,0.0494633044950957
"204729_s_at",3.37918950046665,0.540066686489556,0.163553044504148,3.30208886130432,0.000959676621195531,0.0485554484567403
"204733_at",5.13025017138603,-0.773489701758674,0.148139303776504,-5.2213671999271,1.77606972018014e-07,3.22589916825715e-05
"204855_at",6.09410302799863,-0.527779319603927,0.130776021727418,-4.03574992290254,5.44281663585058e-05,0.00484250959109289
"204885_s_at",3.58741291009061,-0.883529284879828,0.167002966446875,-5.29050054425763,1.21982059027154e-07,2.33388391965837e-05
"204913_s_at",5.18745771065742,0.407938865255806,0.12032621448204,3.39027423917418,0.000698227377163422,0.0380198383395181
"204915_s_at",3.64409636514457,0.546342091339888,0.142582952447306,3.83174904125931,0.000127235490888144,0.00969992193010697
"204941_s_at",3.67242216387809,1.11005062011615,0.161904695097665,6.85619783568685,7.071742747004e-12,3.0296268329393e-09
"204942_s_at",7.04602224751994,0.728802499519349,0.115093741214269,6.33225136163177,2.41609444410484e-10,8.42725189557065e-08
"204951_at",4.73731828530972,0.586793786836995,0.14700780654803,3.99158249222145,6.56338494808193e-05,0.00557136453874524
"204988_at",2.60245236659959,1.06111869854323,0.205957349797429,5.15212833912899,2.57546678594931e-07,4.53167178131277e-05
"205005_s_at",7.24807611534731,-0.39302266306639,0.117027986411939,-3.35836473920819,0.00078405082559365,0.0418734136042658
"205006_s_at",6.11019248970779,-0.440093329562556,0.12964706838502,-3.39454902486177,0.000687417313114643,0.0377351893859339
"205009_at",5.27794401920427,1.52514469929896,0.19085773922027,7.99100264694415,1.33845683650121e-15,9.76924773219606e-13
"205029_s_at",5.81829728147045,-0.706371916392782,0.131541284293393,-5.36996365960114,7.87525100195983e-08,1.65986707481949e-05
"205030_at",5.69998867076929,-0.822951336133181,0.13850609683479,-5.94162535036129,2.82209815273188e-09,7.72431781887321e-07
"205044_at",7.31645845729621,-1.14477178457466,0.124447835711578,-9.1988083041299,3.61941351333242e-20,4.91915738670634e-17
"205066_s_at",7.97575671385276,0.595481160012073,0.111807261748203,5.32596139732974,1.00420458193303e-07,2.04019172125301e-05
"205073_at",3.94838080125841,0.674295048970913,0.148810189916472,4.53124244616177,5.86377955713882e-06,0.000731376605902119
